tier,s1,s2,text,match,group_num,occ_num
underlying_full_phrase,112.957,118.322,sgrgmmgmmnnssss,no match,,
underlying_full_phrase,118.388,125.085,nrsnsndmgmpmgrgmgmn,no match,,
underlying_full_phrase,125.156,129.601,nnsndmmmgmpgpmgrs,match,11.0,6.0
underlying_full_phrase,129.942,132.712,sssnnpn,no match,,
underlying_full_phrase,132.712,135.383,smmggmggrs,no match,,
underlying_full_phrase,135.551,141.207,sgrgmmgmmnnssss,no match,,
underlying_full_phrase,141.295,147.865,nrsnsndmgmpmgrgmgmn,no match,,
underlying_full_phrase,147.903,152.314,nnsndmmmgmpgpmgrs,match,15.0,13.0
underlying_full_phrase,152.568,155.442,sssnnpn,no match,,
underlying_full_phrase,177.981,184.771,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,185.089,189.504,sssndmnnsns,match,10.0,7.0
underlying_full_phrase,196.985,203.728,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,203.857,207.628,sssndmnnsns,no match,,
underlying_full_phrase,207.722,214.442,nnnnnnsndmgmnns,match,19.0,5.0
underlying_full_phrase,214.871,218.866,sssndmnnsns,no match,,
underlying_full_phrase,218.866,225.622,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,230.055,235.345,grsssnrsnndmgmn,no match,,
underlying_full_phrase,235.518,240.377,ssnsrsndmmgmpmggrs,match,15.0,19.0
underlying_full_phrase,240.921,246.099,grsssnrsnndmgmn,no match,,
underlying_full_phrase,246.484,251.162,ssnsrsndmmgmpmggrs,no match,,
underlying_full_phrase,251.822,257.081,grsssnrsnndmgmn,no match,,
underlying_full_phrase,257.404,261.848,ssnsrsndmmgmpmggrs,match,11.0,1.0
underlying_full_phrase,262.131,267.598,sgrgmmgmmnnssss,no match,,
underlying_full_phrase,267.821,274.154,nrsnsndmgmpmgrgmgmn,no match,,
underlying_full_phrase,274.166,278.433,nnsndmmmgmpgpmgrs,no match,,
underlying_full_phrase,278.628,281.267,sssnnpn,no match,,
underlying_full_phrase,302.87,308.459,pmgrssssnnpn,no match,,
underlying_full_phrase,308.723,313.534,ssgrgmgmpmggrs,match,16.0,2.0
underlying_full_phrase,313.777,319.077,pmgrssssnnpn,no match,,
underlying_full_phrase,319.709,324.564,ssgrgmgmpmggrs,match,16.0,4.0
underlying_full_phrase,324.733,330.233,pmgrssssnnpn,no match,,
underlying_full_phrase,330.538,335.249,ssgrgmgmpmggrs,no match,,
underlying_full_phrase,335.344,340.842,pmgrssssnnpn,no match,,
underlying_full_phrase,341.371,346.427,ssgrgmgmpmggrs,no match,,
underlying_full_phrase,352.377,357.128,mmmmmpmgrgm,no match,,
underlying_full_phrase,357.136,362.847,mnnnsndmmmgmpmggrs,no match,,
underlying_full_phrase,363.11,368.055,mmmmmpmgrgm,no match,,
