,tier,s1,s2,text,match_melodia,match_melodia_mix,match_ftanet,match_ftanet_mix,match_melodia_spleeter,match_melodia_spleeter_mix,group_num_melodia,group_num_melodia_mix,group_num_ftanet,group_num_ftanet_mix,group_num_melodia_spleeter,group_num_melodia_spleeter_mix,occ_num_melodia,occ_num_melodia_mix,occ_num_ftanet,occ_num_ftanet_mix,occ_num_melodia_spleeter,occ_num_melodia_spleeter_mix
48,underlying_sancara,313.757,316.274,pmgrs,no match,no match,match,no match,no match,match,,,1.0,,,2.0,,,12.0,,,13.0
49,underlying_sancara,316.457,319.08299999999997,sssnnpn,no match,no match,match,match,no match,match,,,3.0,4.0,,2.0,,,10.0,3.0,,9.0
50,underlying_sancara,319.698,321.916,ssgrg,no match,no match,no match,match,no match,match,,,,3.0,,2.0,,,,6.0,,15.0
51,underlying_sancara,321.941,324.564,mgmpmggrs,match,match,match,match,match,match,18.0,8.0,17.0,1.0,19.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0
52,underlying_sancara,324.714,327.122,pmgrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
53,underlying_sancara,327.385,330.214,sssnnpn,match,match,match,match,match,match,1.0,4.0,3.0,4.0,1.0,13.0,8.0,1.0,6.0,1.0,9.0,7.0
54,underlying_sancara,330.535,332.705,ssgrg,no match,no match,no match,no match,no match,match,,,,,,1.0,,,,,,18.0
55,underlying_sancara,332.8,335.214,mgmpmggrs,match,no match,no match,no match,match,no match,18.0,,,,19.0,,7.0,,,,6.0,
56,underlying_sancara,335.32800000000003,337.788,pmgrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
57,underlying_sancara,338.12800000000004,340.82800000000003,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,4.0,1.0,,3.0,,2.0,7.0,7.0,
58,underlying_sancara,341.35699999999997,343.564,ssgrg,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
59,underlying_sancara,343.565,346.42800000000005,mgmpmggrs,match,no match,no match,match,match,no match,18.0,,,20.0,19.0,,5.0,,,16.0,7.0,
60,underlying_sancara,352.37699999999995,357.12800000000004,mmmmmpmgrgm,match,no match,match,match,no match,no match,43.0,,42.0,37.0,,,0.0,,0.0,5.0,,
61,underlying_sancara,357.12800000000004,359.54400000000004,mnnnsndm,no match,match,no match,match,no match,no match,,5.0,,28.0,,,,0.0,,0.0,,
62,underlying_sancara,359.57099999999997,362.842,mmgmpmggrs,match,no match,match,match,no match,no match,22.0,,17.0,20.0,,,0.0,,10.0,3.0,,
63,underlying_sancara,363.11,368.055,mmmmmpmgrgm,match,no match,match,no match,match,no match,45.0,,42.0,,49.0,,1.0,,1.0,,1.0,
64,underlying_sancara,368.155,370.585,mnnnsndm,no match,match,no match,no match,no match,no match,,7.0,,,,,,3.0,,,,
65,underlying_sancara,370.671,373.70099999999996,mmgmpmggrs,match,no match,no match,match,match,no match,2.0,,,20.0,2.0,,0.0,,,2.0,1.0,
66,underlying_sancara,374.342,376.42199999999997,ssnn,no match,no match,no match,no match,no match,match,,,,,,6.0,,,,,,0.0
67,underlying_sancara,376.504,379.8,nnnsndmgm,match,no match,match,match,match,match,21.0,,24.0,23.0,22.0,12.0,0.0,,1.0,2.0,0.0,4.0
68,underlying_sancara,383.066,386.014,nnsns,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
69,underlying_sancara,403.528,405.56199999999995,ssnn,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
70,underlying_sancara,405.86300000000006,409.233,nnnsndmgm,match,no match,match,match,match,no match,21.0,,24.0,39.0,22.0,,1.0,,0.0,6.0,1.0,
71,underlying_sancara,416.344,419.98800000000006,nnnsndmgm,match,no match,match,match,match,match,24.0,,18.0,39.0,35.0,10.0,1.0,,5.0,3.0,1.0,1.0
72,underlying_sancara,423.185,425.222,nnsns,match,match,match,no match,match,match,3.0,0.0,4.0,,3.0,3.0,3.0,4.0,3.0,,3.0,3.0
73,underlying_sancara,427.344,430.714,nnnsndmgm,match,no match,match,match,match,no match,24.0,,18.0,39.0,26.0,,2.0,,6.0,5.0,0.0,
74,underlying_sancara,432.27099999999996,435.68800000000005,sssndmnnsns,no match,match,match,match,match,match,,15.0,27.0,36.0,29.0,11.0,,16.0,1.0,1.0,1.0,1.0
75,underlying_sancara,443.642,446.57599999999996,mgmpmggrs,match,match,match,match,match,match,20.0,1.0,1.0,1.0,5.0,1.0,3.0,15.0,1.0,0.0,3.0,16.0
76,underlying_sancara,454.28,456.86199999999997,mgmpmggrs,no match,no match,match,match,match,no match,,,1.0,1.0,5.0,,,,13.0,8.0,9.0,
77,underlying_sancara,465.12800000000004,467.642,mgmpmggrs,match,match,match,no match,match,no match,20.0,1.0,1.0,,5.0,,4.0,17.0,14.0,,1.0,
78,underlying_sancara,470.88699999999994,473.38699999999994,mnnssss,no match,no match,match,no match,no match,match,,,4.0,,,0.0,,,4.0,,,18.0
79,underlying_sancara,473.389,476.046,nrsnsndm,no match,match,no match,match,no match,match,,10.0,,25.0,,0.0,,8.0,,1.0,,12.0
80,underlying_sancara,476.26599999999996,478.811,gmpmgrgm,match,no match,no match,match,match,no match,9.0,,,34.0,11.0,,2.0,,,2.0,1.0,
81,underlying_sancara,481.314,484.07199999999995,mmgmpgpmgrs,match,match,match,match,match,match,5.0,7.0,6.0,20.0,5.0,9.0,4.0,2.0,1.0,10.0,6.0,5.0
82,underlying_sancara,484.07199999999995,486.985,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,9.0,1.0,,2.0,,5.0,2.0,2.0,
83,underlying_sancara,508.4,512.2280000000001,smmggmggrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
84,underlying_full_phrase,67.388,72.29899999999999,ppmmgmpgpmgrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
85,underlying_full_phrase,72.506,75.23,sssnnpn,no match,no match,match,match,match,no match,,,3.0,9.0,1.0,,,,9.0,0.0,4.0,
86,underlying_full_phrase,75.428,78.77600000000001,smmggmggrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
87,underlying_full_phrase,79.342,84.014,ppmmgmpgpmgrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
88,underlying_full_phrase,84.414,87.214,sssnnpn,match,no match,match,no match,match,no match,1.0,,3.0,,1.0,,5.0,,11.0,,5.0,
